Employee_ID,Employee_Name,Department,City,Product,Month,Units_Sold,Revenue
1,Neha,Sales,Bhopal,Phone,Feb,13,12402
2,Neha,IT,Delhi,Monitor,Jan,6,1770
3,Arjun,Marketing,Bangalore,Laptop,May,17,15861
4,Isha,HR,Mumbai,Monitor,May,22,22616
5,Aman,Marketing,Varanasi,Tablet,Mar,14,5880
6,Rahul,Sales,Delhi,Monitor,Jan,27,28809
7,Ananya,IT,Bhopal,Laptop,Jun,34,25466
8,Neha,HR,Delhi,Tablet,Jun,44,48664
9,Ananya,IT,Mumbai,Laptop,Jan,47,20351
10,Kavya,Sales,Mumbai,Laptop,Apr,22,14608
11,Ananya,Marketing,Bhopal,Tablet,Feb,47,22231
12,Karan,IT,Mumbai,Phone,Feb,34,19992
13,Aditya,IT,Mumbai,Tablet,Jan,19,19779
14,Riya,Finance,Varanasi,Tablet,Jan,18,20430
15,Manish,Finance,Mumbai,Monitor,Apr,46,30774
16,Rohit,Finance,Mumbai,Phone,Jun,40,30040
17,Aditya,IT,Varanasi,Monitor,Mar,19,6479
18,Nikhil,HR,Delhi,Laptop,Jan,14,11788
19,Pooja,HR,Bangalore,Laptop,Apr,29,23490
20,Siddharth,IT,Bhopal,Laptop,Jun,12,10776
21,Isha,Finance,Bhopal,Laptop,Mar,32,11552
22,Siddharth,Sales,Bhopal,Phone,May,11,12001
23,Kavya,IT,Bangalore,Phone,Feb,28,27440
24,Pooja,IT,Bangalore,Laptop,May,25,17500
25,Aman,Sales,Bhopal,Tablet,Feb,8,3568
26,Manish,Sales,Delhi,Monitor,Jan,39,38376
27,Rohit,Marketing,Varanasi,Phone,Mar,38,41534
28,Divya,HR,Mumbai,Phone,Jun,24,14592
29,Ananya,HR,Bangalore,Monitor,Jan,20,8600
30,Karan,Finance,Delhi,Phone,May,19,3933
31,Karan,Sales,Mumbai,Laptop,Jan,26,7072
32,Nikhil,Marketing,Bhopal,Monitor,Feb,39,13065
33,Manish,IT,Varanasi,Phone,Apr,31,12214
34,Neha,Sales,Varanasi,Tablet,Apr,31,21018
35,Riya,Sales,Delhi,Monitor,Jun,26,26494
36,Neha,Marketing,Mumbai,Phone,May,33,11319
37,Meera,Marketing,Bhopal,Monitor,Feb,9,5877
38,Isha,Sales,Delhi,Laptop,Jan,20,7400
39,Meera,HR,Varanasi,Phone,Apr,8,2944
40,Vikas,Sales,Varanasi,Tablet,Apr,23,14559
41,Isha,HR,Mumbai,Phone,Mar,18,21438
42,Riya,IT,Bangalore,Laptop,Jun,25,6450
43,Riya,IT,Varanasi,Phone,Jan,37,10434
44,Pooja,Sales,Bangalore,Laptop,Jun,20,12260
45,Neha,IT,Mumbai,Laptop,May,10,6290
46,Manish,IT,Bangalore,Tablet,Mar,18,15930
47,Rahul,Marketing,Bhopal,Monitor,Feb,47,40420
48,Kavya,HR,Bhopal,Laptop,Jan,34,28424
49,Manish,Sales,Delhi,Phone,May,21,7035
50,Ananya,Sales,Mumbai,Tablet,Mar,15,9720
51,Isha,Finance,Bangalore,Laptop,Jun,40,20240
52,Neha,Marketing,Bhopal,Laptop,Jan,40,14360
53,Aditya,Finance,Bangalore,Phone,Jun,26,10608
54,Aditya,IT,Varanasi,Tablet,Jan,10,8490
55,Meera,Finance,Delhi,Laptop,Mar,13,11076
56,Aditya,Marketing,Varanasi,Monitor,May,5,1570
57,Karan,Marketing,Bangalore,Laptop,Mar,42,32130
58,Rohit,HR,Mumbai,Laptop,Mar,28,31360
59,Riya,Finance,Mumbai,Phone,Jun,11,6182
60,Isha,HR,Bangalore,Phone,Feb,15,17985
61,Pooja,HR,Delhi,Phone,Jun,26,26026
62,Meera,Marketing,Bhopal,Phone,Jun,11,6501
63,Riya,HR,Mumbai,Phone,Apr,27,13824
64,Sneha,Marketing,Delhi,Phone,Apr,26,12610
65,Karan,Finance,Bhopal,Monitor,Jun,39,21021
66,Aman,Sales,Bhopal,Phone,May,21,5019
67,Neha,IT,Varanasi,Tablet,Jun,25,16150
68,Divya,IT,Delhi,Monitor,May,17,7820
69,Riya,HR,Delhi,Phone,Mar,32,8672
70,Rahul,IT,Bhopal,Laptop,Jun,24,17256
